Frequency (Hz)	Level (dB)
43.066406	-103.068672
86.132813	-102.625595
129.199219	-102.277115
172.265625	-100.933479
215.332031	-100.040962
258.398438	-98.714920
301.464844	-96.691032
344.531250	-95.525856
387.597656	-92.701340
430.664063	-91.098846
473.730469	-87.805466
516.796875	-85.053787
559.863281	-82.719353
602.929688	-76.927528
645.996094	-72.898697
689.062500	-66.430092
732.128906	-57.371231
775.195313	-43.665691
818.261719	-30.601427
861.328125	-26.037174
904.394531	-26.051786
947.460938	-32.298664
990.527344	-43.810436
1033.593750	-59.581135
1076.660156	-68.601532
1119.726563	-70.743248
1162.792969	-65.640411
1205.859375	-49.902279
1248.925781	-36.877136
1291.992188	-30.631914
1335.058594	-29.871662
1378.125000	-34.349503
1421.191406	-45.194458
1464.257813	-62.281281
1507.324219	-69.726112
1550.390625	-70.285774
1593.457031	-62.506447
1636.523438	-48.702652
1679.589844	-35.056671
1722.656250	-27.247065
1765.722656	-25.389818
1808.789063	-28.714998
1851.855469	-37.956490
1894.921875	-55.444626
1937.988281	-66.107994
1981.054688	-70.925957
2024.121094	-67.799721
2067.187500	-56.321590
2110.253906	-39.544399
2153.320313	-30.748940
2196.386719	-27.518282
2239.453125	-29.836477
2282.519531	-37.588238
2325.585938	-53.192577
2368.652344	-65.943954
2411.718750	-70.234230
2454.785156	-67.210640
2497.851563	-57.474907
2540.917969	-41.468674
2583.984375	-30.425682
2627.050781	-26.379404
2670.117188	-27.191034
2713.183594	-34.233379
2756.250000	-46.335732
2799.316406	-61.780670
2842.382813	-70.637032
2885.449219	-73.411957
2928.515625	-68.425644
2971.582031	-54.586292
3014.648438	-41.140568
3057.714844	-35.652828
3100.781250	-35.418789
3143.847656	-41.096199
3186.914063	-52.992764
3229.980469	-68.229675
3273.046875	-76.322578
3316.113281	-75.051094
3359.179688	-68.200874
3402.246094	-52.899479
3445.312500	-41.236813
3488.378906	-33.684177
3531.445313	-32.956650
3574.511719	-36.428959
3617.578125	-48.192162
3660.644531	-61.587196
3703.710938	-71.701126
3746.777344	-78.591896
3789.843750	-82.386230
3832.910156	-89.935013
3875.976563	-89.995758
3919.042969	-95.558502
3962.109375	-96.422691
4005.175781	-99.798706
4048.242188	-101.919846
4091.308594	-103.635170
4134.375000	-106.212059
4177.441406	-107.476265
4220.507813	-108.540436
4263.574219	-110.868126
4306.640625	-111.987503
4349.707031	-112.663261
4392.773438	-114.918297
4435.839844	-114.443054
4478.906250	-119.770203
4521.972656	-115.997147
4565.039063	-117.860947
4608.105469	-119.068001
4651.171875	-119.541176
4694.238281	-120.508224
4737.304688	-120.207306
4780.371094	-122.340843
4823.437500	-121.437538
4866.503906	-122.294212
4909.570313	-121.601822
4952.636719	-122.282486
4995.703125	-123.841095
5038.769531	-121.958183
5081.835938	-122.998978
5124.902344	-123.542770
5167.968750	-122.983665
5211.035156	-122.834114
5254.101563	-124.109856
5297.167969	-123.131386
